Skip    SntNumPen   UnionScore  Precision Recall    F1        Match   Alignments  Gold      
-0.35   0.02        0.2         0.8950    0.8169    0.8542    6797    7594        8320      
-0.25   0.03        0.2         0.8943    0.8175    0.8542    6802    7606        8320      
-0.2    0.03        0.25        0.8943    0.8175    0.8542    6802    7606        8320      
-0.2    0.03        0.3         0.8943    0.8175    0.8542    6802    7606        8320      
-0.2    0.03        0.05        0.8944    0.8174    0.8542    6801    7604        8320      
-0.2    0.03        0.1         0.8944    0.8174    0.8542    6801    7604        8320      
-0.2    0.03        0.15        0.8944    0.8174    0.8542    6801    7604        8320      
-0.1    0.01        0.25        0.8948    0.8171    0.8542    6798    7597        8320      
-0.1    0.0         0.15        0.8953    0.8167    0.8542    6795    7590        8320      
-0.5    0.01        0.15        0.8957    0.8163    0.8542    6792    7583        8320      
-0.45   0.01        0.15        0.8957    0.8163    0.8542    6792    7583        8320      
-0.4    0.01        0.15        0.8957    0.8163    0.8542    6792    7583        8320      
-0.35   0.01        0.15        0.8957    0.8163    0.8542    6792    7583        8320      
-0.2    0.05        0.15        0.8928    0.8187    0.8542    6812    7630        8320      
-0.15   0.03        0.25        0.8941    0.8177    0.8542    6803    7609        8320      
-0.15   0.03        0.3         0.8941    0.8177    0.8542    6803    7609        8320      
-0.1    0.02        0.3         0.8941    0.8177    0.8542    6803    7609        8320      
-0.2    0.06        0.15        0.8920    0.8194    0.8542    6817    7642        8320      
-0.2    0.06        0.2         0.8920    0.8194    0.8542    6817    7642        8320      
-0.2    0.06        0.25        0.8920    0.8194    0.8542    6817    7642        8320      
-0.2    0.06        0.3         0.8920    0.8194    0.8542    6817    7642        8320      
-0.2    0.06        0.35        0.8920    0.8194    0.8542    6817    7642        8320      
-0.2    0.06        0.4         0.8920    0.8194    0.8542    6817    7642        8320      
-0.15   0.03        0.05        0.8942    0.8175    0.8541    6802    7607        8320      
-0.15   0.03        0.1         0.8942    0.8175    0.8541    6802    7607        8320      
-0.15   0.03        0.15        0.8942    0.8175    0.8541    6802    7607        8320      
-0.15   0.02        0.35        0.8946    0.8172    0.8541    6799    7600        8320      
-0.3    0.01        0.3         0.8955    0.8165    0.8541    6793    7586        8320      
-0.3    0.01        0.35        0.8955    0.8165    0.8541    6793    7586        8320      
-0.25   0.01        0.3         0.8955    0.8165    0.8541    6793    7586        8320      
-0.25   0.01        0.35        0.8955    0.8165    0.8541    6793    7586        8320      
-0.5    0.0         0.0         0.8959    0.8161    0.8541    6790    7579        8320      
-0.45   0.0         0.0         0.8959    0.8161    0.8541    6790    7579        8320      
-0.4    0.0         0.0         0.8959    0.8161    0.8541    6790    7579        8320      
